id,createdAt,text,hashtags,urls,user_mentions,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount
1966775878878449699,Sat Sep 13 08:08:05 +0000 2025,Alibaba &amp; collaborators just released FLUX-Reason-6M &amp; PRISM-Bench on Hugging Face: a colossal dataset &amp; benchmark to propel reasoning in text-to-image generation. https://t.co/FurudMrtdh,,,,21,1,108,0,4918,35
1968527551703433595,Thu Sep 18 04:08:36 +0000 2025,"GenExam: The first multidisciplinary text-to-image exam is now on Hugging Face

This new benchmark challenges T2I models with 1,000 rigorous, exam-style prompts across 10 subjects. It comes with ground-truth images and detailed scoring for semantic correctness and visual plausibility.",,,,6,2,46,0,9103,19
1970281998221459600,Tue Sep 23 00:20:09 +0000 2025,"SpatialGen: Layout-guided 3D Indoor Scene Generation

Generate stunning, photo-realistic 3D indoor scenes from a simple layout, controlled by text or an image! This new multi-view, multi-modal diffusion model achieves superior results & comes with a massive 4.7M rendering dataset.",,,,2,1,16,1,981,8
1968044452062097617,Tue Sep 16 20:08:56 +0000 2025,"LazyDrag: Stable Drag-Based Editing on Diffusion Transformers

This new method eliminates implicit point matching for precise control and text guidance. No more costly test-time optimization! Achieve complex edits like opening mouths, adding objects, or context-aware changes with unprecedented stability & fidelity.",,,,3,1,25,0,1274,8
1969796242415747569,Sun Sep 21 16:09:55 +0000 2025,"Meta unveils IGPO for Diffusion LLMs

A new RL framework leveraging inpainting to guide exploration &amp; boost efficiency. Achieves new SoTA on math benchmarks like GSM8K, Math500, and AMC with reliable performance. https://t.co/b23XZmtU15",,,,5,1,9,0,832,3
1968107216939938004,Wed Sep 17 00:18:20 +0000 2025,"MIT &amp; Toyota unveil a core secret of image diffusion models

The 'locality' driving generalization in deep diffusion models isn't due to CNN inductive bias. Our research shows it emerges directly from dataset statistics, leading to improved analytical denoisers. https://t.co/nvhOjGh1Pf",,,,4,1,15,0,989,7
1967501694805201327,Mon Sep 15 08:12:13 +0000 2025,"InfGen: Generating stunning images at *any* resolution

This new paradigm cuts 4K image generation time to under 10 seconds! It replaces VAE decoders with a one-step generator, empowering existing diffusion models for scalable, high-fidelity synthesis without retraining. https://t.co/zSVgR2LSEn",,,,3,1,25,0,1397,10
1968972092445008183,Fri Sep 19 09:35:03 +0000 2025,"ByteDance just released Magic Bench on Hugging Face

A comprehensive evaluation dataset for text-to-image generation models with 377 prompts,
bilingual support, and 9 detailed annotation dimensions.

https://t.co/nY4RIpaklh",,https://huggingface.co/datasets/ByteDance-Seed/MagicBench,,4,1,28,1,1433,6
1970339765477109902,Tue Sep 23 04:09:41 +0000 2025,"ByteDance's OmniInsert for Mask-Free Video Editing

This novel Diffusion Transformer framework allows seamless insertion of subjects into videos, handling single or multiple references with unparalleled consistency and quality. It even beats commercial solutions! https://t.co/DRZgetVO8T",,,,2,1,11,0,843,4
1963635300351316416,Thu Sep 04 16:08:32 +0000 2025,"ByteDance introduces MOSAIC, a new framework for multi-subject personalized image generation.

It tackles identity blending and attribute leakage, maintaining high fidelity and coherence even with 4+ subjects. https://t.co/P2Bb9kdcoF",,,,1,2,7,0,504,3
1965447418440262056,Tue Sep 09 16:09:15 +0000 2025,"Princeton University &amp; Gen-Verse unveil TraceRL: a new RL framework for Diffusion LLMs, achieving state-of-the-art reasoning with unprecedented data efficiency! https://t.co/KLq1goCMZT",,,,15,1,95,0,11474,46
1972332903716606089,Sun Sep 28 16:09:43 +0000 2025,"NVIDIA introduces Lyra: Generative 3D Scene Reconstruction via Video Diffusion Model Self-Distillation

This self-distillation framework distills implicit 3D knowledge from video diffusion models into explicit 3D Gaussian Splatting, without needing multi-view training data. Generate 3D/4D scenes from a single image or video.",,,,10,3,41,2,2691,18
1969796678585561360,Sun Sep 21 16:11:39 +0000 2025,"IGPO: Inpainting Guides Policy Optimization for Diffusion LLMs

A new RL framework for masked diffusion LLMs leverages inpainting to guide exploration and overcome sparse rewards. It strategically inserts partial ground-truth traces, achieving new state-of-the-art on math benchmarks.",,,,5,1,15,0,1003,4
1965991124734193820,Thu Sep 11 04:09:45 +0000 2025,"China's ByteDance introduces RewardDance.

A scalable reward modeling framework for visual generation that tackles reward hacking and mode collapse.

It achieves state-of-the-art results in text-to-image, text-to-video, and image-to-video generation by aligning reward objectives with VLM architectures.",,,,3,1,10,0,1143,4
1972094827803078943,Sun Sep 28 00:23:41 +0000 2025,"VideoFrom3D: Revolutionizing 3D scene video generation!

This framework combines image &amp; video diffusion models to craft photorealistic, style-consistent videos from coarse geometry, camera paths, &amp; reference images. No paired 3D datasets needed, streamlining 3D graphic design. https://t.co/d5ub0XZZ7H",,,,31,6,146,2,18923,85
1970218832951119923,Mon Sep 22 20:09:09 +0000 2025,"LZN improves SOTA image generation (FID to 2.59 on CIFAR10), outperforms MoCo/SimCLR in representation learning, &amp; achieves SOTA classification!

NeurIPS 2025 paper: https://t.co/yVJ4lW0KrC
Models &amp; code: https://t.co/rshczZvR55",,"https://huggingface.co/papers/2509.15591, https://huggingface.co/microsoft/latent-zoning-networks",,0,0,14,0,1174,4
1963695521282879847,Thu Sep 04 20:07:50 +0000 2025,"Face-MoGLE just dropped! This Diffusion Transformer masters controllable face generation, offering incredible photorealism and precise semantic control via masks and text prompts. https://t.co/t1zxP734PI",,,,1,1,3,0,587,4
1967501704405848340,Mon Sep 15 08:12:15 +0000 2025,"Explore InfGen, the new resolution-agnostic paradigm that unlocks rapid 4K image synthesis and transforms existing diffusion models.

Learn more about InfGen on Hugging Face:

https://t.co/KIDQCvblRH",,https://huggingface.co/papers/2509.10441,,0,0,7,0,822,3
1964601470931644669,Sun Sep 07 08:07:45 +0000 2025,"GenCompositor: A Diffusion Transformer leveraging ERoPE for pixel-perfect video compositing.

Achieves SOTA fidelity &amp; consistency.

Paper: https://t.co/PkqkUMMqmm
Model: https://t.co/7eiRPk7Bdk",,"https://huggingface.co/papers/2509.02460, https://huggingface.co/TencentARC/GenCompositor",,3,0,10,0,871,2
1969131958174138371,Fri Sep 19 20:10:18 +0000 2025,"It's a game-changer for high-fidelity image generation! Learn how ST-AR improves FID by nearly 50% and pushes the boundaries of visual semantics.

Explore the full paper on Hugging Face: https://t.co/NrE2i58Odr",,https://huggingface.co/papers/2509.15185,,0,0,15,0,1094,5
1960253548656001409,Tue Aug 26 08:10:40 +0000 2025,"Alibaba Group introduces Visual-CoG on Hugging Face.

It's a novel reinforcement learning framework that tackles complex text-to-image prompts with stage-aware guidance.

Unlocking superior control and accuracy in visual generation. https://t.co/tAjqq0PHZW",,,,1,2,14,0,966,6
1959166721685602762,Sat Aug 23 08:12:00 +0000 2025,"Tinker unveils generalizable 3D editing, powered by diffusion models. Get stunning, multi-view consistent results from just a few images, no per-scene optimization needed! https://t.co/iGhI7UTbX6",,,,1,0,12,0,951,4
1959047666978918806,Sat Aug 23 00:18:55 +0000 2025,"Alibaba and Tsinghua University introduce S²-Guidance on Hugging Face!

This training-free method revolutionizes diffusion models, boosting text-to-image and text-to-video generation quality.

Outperforms CFG for stunning, coherent outputs. https://t.co/gqFIV1YUWO",,,,3,1,12,0,937,3
1960373414633369693,Tue Aug 26 16:06:58 +0000 2025,"Hugging Face unveils T2I-ReasonBench!

A new benchmark that pushes text-to-image models to ""think"" with complex prompts across idiom, design, entity, and scientific reasoning.

How smart are our generative models really? https://t.co/YsLTFeu7d5",,,,3,1,15,0,767,7
1960313628395024436,Tue Aug 26 12:09:24 +0000 2025,"MV-RAG is here, advancing text-to-3D generation on Hugging Face!

It brilliantly tackles out-of-domain concepts like ""Bolognese dog"" and ""Labubu doll"" by augmenting multiview diffusion with real-world image retrieval. https://t.co/45RVFDkPKC",,,,3,1,14,0,897,2
1961279516094996926,Fri Aug 29 04:07:30 +0000 2025,"Tencent researchers just launched Pref-GRPO on Hugging Face.

It's a new method that tackles 'reward hacking' in text-to-image models for more stable and high-quality generation.

See how it prevents issues that destabilize T2I outputs. https://t.co/I6LbDrTKnY",,,,4,1,22,0,1045,8
1960977463481127262,Thu Aug 28 08:07:15 +0000 2025,"Huawei Cloud and partners introduce Discrete Diffusion VLA.

A unified transformer for robotics, using discrete diffusion to decode actions from vision-language inputs.

It achieves state-of-the-art performance, tackling robot tasks with unprecedented efficiency. https://t.co/T0LCRiMZAN",,,,0,2,8,0,774,1
